"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2363T1680837R","2023-05-23","2023-05-23","2023-05-12","DPE 2006 tertiaire et ERP",,"2033-05-22",2.2,,"dpe tertiaire vierge",,,,,,,1988,"5ème Catégorie","1983-1988","W : Administrations, banques, bureaux",0,91.6,100,,"24 TER AVENUE D'AUBIÈRE","Cournon-d'Auvergne","63124","24ter","63124_0035_00024_ter","24ter avenue d'Aubière 63800 Cournon-d'Auvergne","63800",0.83,"avenue d'Aubière",712942.36,6516058.35,63800,0,,"002ER459997",,,"adresse non géocodée ban car aucune correspondance trouvée","COURNON-D'AUVERGNE","63","84",,,,,,,,,,,,,,,,,,
"2269T2615953W","2022-11-05","2022-11-05","2022-10-20","DPE 2006 tertiaire et ERP",,"2032-11-04",2.2,,"dpe tertiaire facture",,,"C","C",159.3,23.8,1979,"5ème Catégorie","1978-1982","U : Établissements de soins",0,135.9,100,,"707 route de la Condamine
CENTRE MEDICAL GERMAINE REVEL","Chabanière","69228","707","69228_0086_00707","707 Route de la Condamine 69440 Chabanière","69440",0.51,"Route de la Condamine",828010.81,6499110.54,69440,0,,"041122/56101",,,"adresse géocodée ban à l'adresse","CHABANIERE","69","84",14565.8,14565.8,"Gaz naturel","périmètre de l'usage inconnu",1620,2021,4024,9255.2,"Électricité","périmètre de l'usage inconnu",1167,2021,,,,,,
"2360T0127880L","2023-01-16","2023-01-16","2023-01-06","DPE 2006 tertiaire et ERP",,"2033-01-15",2.2,,"dpe tertiaire vierge",,,,,,,1900,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",500,,123,,"Yvonne Genty","Blacourt","60073","7","60073_0075_00007","7 Place Yvonne Genty 60650 Blacourt","60650",0.94,"Place Yvonne Genty",617387.3,6930052.21,60650,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","BLACOURT","60","32",,,,,,,,,,,,,,,,,,
"2271T0492563C","2022-03-11","2022-03-11","2022-03-11","DPE 2006 tertiaire et ERP",,"2032-03-10",2,,"dpe tertiaire vierge",,,,,,,1948,,"avant 1948","M : Magasins de vente, centres commerciaux",1,140,140,,"14 RUE DES HALLES / 9 RUE BASSE","Montcenis","71309","14","71309_0070_00014","14 Rue Basse 71710 Montcenis","71710",0.55,"Rue Basse",805914.91,6633124.55,71710,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MONTCENIS","71","27",,,,,,,,,,,,,,,,,,
"2231T0461783S","2022-03-08","2022-03-08","2022-03-08","DPE 2006 tertiaire et ERP",,"2032-03-07",2.1,,"dpe tertiaire facture",,,"C","A",102.3,2.8,1989,"5ème Catégorie","1989-2000","W : Administrations, banques, bureaux",2,151.2,100,,"26 All. Charles de Fitte
 Local commercial 1","Toulouse","31555","26","31555_1920_00026","26 Allées Charles de Fitte 31300 Toulouse","31300",0.82,"Allées Charles de Fitte",573425.19,6278619.05,31300,0,,,,,"adresse géocodée ban à l'adresse","TOULOUSE","31","76",7403,17026.9,"Électricité","périmètre de l'usage inconnu",2147,2022,,,,,,,,,,,,
"2235T0340679A","2022-02-21","2022-02-21","2022-02-21","DPE 2006 tertiaire et ERP",,"2032-02-20",2.1,,"dpe tertiaire vierge",,,,,,,1978,"5ème Catégorie","1978-1982","M : Magasins de vente, centres commerciaux",0,95.7,100,,"20 rue d'Isly","Rennes","35238","20","35238_4580_00020","20 Rue dâ€ Isly 35000 Rennes","35000",0.68,"Rue dâ€ Isly",352018.66,6788642.91,35000,0,,,,"Rdc","adresse géocodée ban à l'adresse","RENNES","35","53",,,,,,,,,,,,,,,,,,
"2217T0321604R","2022-02-17","2022-02-17","2022-02-16","DPE 2006 tertiaire et ERP",,"2032-02-16",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",0,70,100,,"28 place de la République - Local","Aigrefeuille-d'Aunis","17003","28","17003_0100_00028","28 Place de la République 17290 Aigrefeuille-d'Aunis","17290",0.56,"Place de la République",396373.1,6565032.26,17290,0,,,,"RDC","adresse géocodée ban à l'adresse","AIGREFEUILLE D AUNIS","17","75",,,,,,,,,,,,,,,,,,
"2331T0921359T","2023-03-20","2023-03-20","2023-03-20","DPE 2006 tertiaire et ERP","2331T0921339Z","2033-03-19",2.2,,"dpe tertiaire facture",,,"C","A",111.1,3.1,,"3ème Catégorie","1989-2000","T : Salles d'exposition à vocation commerciale",20,1328,100,,"1 rue du champ du moulin 
ZA du Moulin","Pinsaguel","31420","1","31420_0810_00001","1 Route de Roquettes 31120 Pinsaguel","31120",0.48,"Route de Roquettes",568957.68,6268881.75,31120,0,,"31041979",,,"adresse géocodée ban à l'adresse","ROQUETTES","31","76",70562.3,162293.4,"Électricité","périmètre de l'usage inconnu",20468.3,2023,,,,,,,,,,,,
"2193T0221789N","2021-08-05","2021-08-05","2021-08-05","DPE 2006 tertiaire et ERP",,"2031-08-04",1,,,,,"D","C",189,19,1995,"1ère Catégorie","1989-2000","autres tertiaires non ERP",1,14151.5,14151.5,"Gaz naturel","51/53 Commandant Rolland","Le Bourget","93013",,"93013_1490","Rue du Commandant Rolland 93350 Le Bourget","93350",0.63,"Rue du Commandant Rolland",658569.82,6870454.87,93350,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","LE BOURGET","93","11",750700,122,"Électricité","Chauffage",118760.7,2020,947682,67,"Gaz naturel","Chauffage",44825,2020,,,,,,
"2291T2483783G","2022-10-23","2022-10-23","2022-10-14","DPE 2006 tertiaire et ERP",,"2032-10-22",2.2,,"dpe tertiaire facture",,,"F","C",709.1,19.7,1970,"5ème Catégorie","1948-1974","autres tertiaires non ERP",10,1907.8,100,,"15 Chemin des Mousseaux","Vigneux-sur-Seine","91657","15","91657_2340_00015","15 Chemin des Mousseaux 91270 Vigneux-sur-Seine","91270",0.62,"Chemin des Mousseaux",656933.72,6844421.83,91270,0,,"22/IMO/0203",,"916577","adresse géocodée ban à l'adresse","VIGNEUX SUR SEINE","91","11",647026.3,1488160.6,"Électricité","périmètre de l'usage inconnu",76192,2022,,,,,,,,,,,,
"2213T0062461M","2022-01-12","2022-01-12","2022-01-12","DPE 2006 tertiaire et ERP",,"2032-01-11",2,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","U : Établissements de soins",0,60.6,100,,"30, rue Davso","Marseille","13201","30","13201_3691_00030","30 Rue Francis Davso 13001 Marseille","13001",0.68,"Rue Francis Davso",892991.2,6246708.34,13001,0,,,,"1er étage","adresse géocodée ban à l'adresse","MARSEILLE 01","13","93",,,,,,,,,,,,,,,,,,
"2313T1646022S","2023-05-18","2023-05-18","2023-05-09","DPE 2006 tertiaire et ERP",,"2033-05-17",2.2,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,66.8,100,,"8 BD DES ALLIES","Roquevaire","13086","8","13086_0035_00008","8 Avenue des Alliés 13360 Roquevaire","13360",0.6,"Avenue des Alliés",911210.57,6253668,13360,0,,"2023-05-0344",,"Etage : RDC","adresse géocodée ban à l'adresse","ROQUEVAIRE","13","93",,,,,,,,,,,,,,,,,,
"2214T0422455L","2022-03-02","2022-03-02","2022-03-01","DPE 2006 tertiaire et ERP",,"2032-03-01",2,,"dpe tertiaire facture",,,"F","E",440.9,58.7,1996,,"1989-2000","autres tertiaires non ERP",500,,177.1,,"Pierre Corneille","Caen","14118","43","14118_2890_00043","43 Rue de Falaise 14000 Caen","14000",0.89,"Rue de Falaise",455476.72,6902275,14000,,"CAEN CHEMIN VERT - Code site 281",,,,"adresse géocodée ban à l'adresse","CAEN","14","28",46637,46637,"Gaz naturel","périmètre de l'usage inconnu",3031,2020,45070,45070,"Gaz naturel","périmètre de l'usage inconnu",2929.1,2022,17254,39684.2,"Électricité","périmètre de l'usage inconnu",2778.9,2021
"2220T2607606Y","2022-11-04","2022-11-04","2022-11-04","DPE 2006 tertiaire et ERP","2220T2607302G","2032-11-03",2.2,,"dpe tertiaire facture",,,"D","B",173,4.8,2008,,"2006-2012","autres tertiaires non ERP",500,,279,,"Espace Madonuccia, Avenue du Docteur Noel Franchini","Ajaccio","2A004",,"2A004_0442","Avenue du Docteur Noel Franchini 20090 Ajaccio","20090",0.65,"Avenue du Docteur Noel Franchini",1177893.75,6110599.98,20090,2,,,,,"adresse non géocodée ban car aucune correspondance trouvée","AJACCIO","2A","94",4605,10591.5,"Électricité","périmètre de l'usage inconnu",743,2021,4406,10133.8,"Électricité","périmètre de l'usage inconnu",710.9,2021,4400,10120,"Électricité","périmètre de l'usage inconnu",709.9,2022
"2295T0788585M","2022-04-14","2022-04-14","2022-04-08","DPE 2006 tertiaire et ERP",,"2032-04-13",2.1,,"dpe tertiaire facture",,,"G","F",1238.3,82.6,1989,"5ème Catégorie","1989-2000","N : Restaurants et débits de boisson",0,39.5,100,,"45 BLD DE LA GARE","Saint-Gratien","95555","45","95555_0420_00045","45 Boulevard de la Gare 95210 Saint-Gratien","95210",0.63,"Boulevard de la Gare",647697.29,6874043.25,95210,0,,,,,"adresse géocodée ban à l'adresse","ST GRATIEN","95","11",18810,43263,"Électricité","périmètre de l'usage inconnu",5456,2022,10488.3,10488.3,"Gaz naturel","périmètre de l'usage inconnu",3376995,2022,,,,,,
"2259T0396068H","2022-02-28","2022-02-28","2022-02-09","DPE 2006 tertiaire et ERP",,"2032-02-27",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,100,100,,"4 Place de la République","Iwuy","59322","4","59322_0680_00004","4 Place de la Republique 59141 Iwuy","59141",0.51,"Place de la Republique",723055.4,7014634.98,59141,0,,,,"Ce bien ne fait pas partie d'une copropriété","adresse géocodée ban à l'adresse","IWUY","59","32",,,,,,,,,,,,,,,,,,
"2275T1120697G","2022-05-22","2022-05-22","2022-05-12","DPE 2006 tertiaire et ERP",,"2032-05-21",2.1,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,53,100,,"42 Boulevard Magenta","Paris","75110","42","75110_5907_00042","42 Boulevard de Magenta 75010 Paris","75010",0.77,"Boulevard de Magenta",653042.18,6863784.31,75010,0,,,,"Etage RDC","adresse géocodée ban à l'adresse","PARIS 10, France","75","11",,,,,,,,,,,,,,,,,,
"2292T3050793J","2022-12-15","2022-12-15","2022-12-15","DPE 2006 tertiaire et ERP",,"2032-12-14",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1989-2000","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,79.8,100,,"32 PLACE DES AILLES","Boulogne-Billancourt","92012","32","92012_0053_00032","32 Place des Ailes 92100 Boulogne-Billancourt","92100",0.65,"Place des Ailes",643845.8,6859435.75,92100,0,,"22/IMO/0959",,"Etage RDC; Compl. VENNOISERIE","adresse géocodée ban à l'adresse","BOULOGNE BILLANCOURT","92","11",,,,,,,,,,,,,,,,,,
"2386T1116166L","2023-04-04","2023-04-04","2023-03-30","DPE 2006 tertiaire et ERP",,"2033-04-03",2.2,,"dpe tertiaire facture",,,"E","B",346.9,9.7,,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,141.5,100,,"Mairie","Saint-Macoux","86231",,"86231","Saint-Macoux","86400",0.25,,485525.62,6561503.87,86400,0,,"5825/2023",,,"adresse géocodée ban à l'adresse","ST MACOUX","86","75",23479.7,54003.2,"Électricité","périmètre de l'usage inconnu",3918.6,2022,,,,,,,,,,,,
"2275T0397784X","2022-02-28","2022-02-28","2022-02-14","DPE 2006 tertiaire et ERP",,"2032-02-27",2.1,,"dpe tertiaire vierge",,,,,,,1948,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",0,3945,100,,"2 rue Fragonard","Paris","75117","2","75117_3777_00002","2 Rue Fragonard 75017 Paris","75017",0.73,"Rue Fragonard",649739.19,6866226.67,75017,0,,,,,"adresse géocodée ban à l'adresse","PARIS 17","75","11",,,,,,,,,,,,,,,,,,
"2144T0756797W","2021-11-23","2021-11-23","2021-11-23","DPE 2006 tertiaire et ERP",,"2031-11-22",1.1,,"dpe tertiaire facture",,,"C","A",152,4.2,2006,"5ème Catégorie","2006-2012","GHW : Bureaux",0,928,100,,"31 RUE BOBBY SANDS
BERLIOZ D BAT 4","Saint-Herblain","44162","31","44162_0329_00031","31 Rue Bobby Sands 44800 Saint-Herblain","44800",0.67,"Rue Bobby Sands",347981.58,6691989.35,44800,0,,,,"Bat. BAT 4","adresse géocodée ban à l'adresse","ST HERBLAIN","44","52",67452.5,155140.8,"Électricité","périmètre de l'usage inconnu",8094.5,,,,,,,,,,,,,
"2257T2723025O","2022-11-17","2022-11-17","2022-11-16","DPE 2006 tertiaire et ERP",,"2032-11-16",2.2,,"dpe tertiaire vierge",,,,,,,2019,,"2013-2021","autres tertiaires non ERP",500,,19.4,,"de Metz","Moulins-lès-Metz","57487","9","57487_0480_00009","9 Rue de Metz 57160 Moulins-lès-Metz","57160",0.96,"Rue de Metz",927085.01,6894099.69,57160,2,,,,,"adresse géocodée ban à l'adresse","MOULINS-LÈS-METZ","57","44",,,,,,,,,,,,,,,,,,
"2309T0227223J","2023-01-24","2023-01-24","2023-01-24","DPE 2006 tertiaire et ERP",,"2033-01-23",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,1999,,"1989-2000","autres tertiaires non ERP",500,,278,,"de la Passeronne","Pamiers","09225",,"09225_3190","Chemin de la Passeronne 09100 Pamiers","09100",0.95,"Chemin de la Passeronne",587862.55,6223423.5,9100,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","PAMIERS","09","76",,,,,,,,,,,,,,,,,,
"2221T0382101Q","2022-02-25","2022-02-25","2022-02-25","DPE 2006 tertiaire et ERP",,"2032-02-24",2.1,,"dpe tertiaire facture",,,"C","B",149,4.1,1970,,"1948-1974","autres tertiaires non ERP",500,179.8,179.8,,"285, Rue du Centre Arco","Marsannay-la-Côte","21390","285","21390_0250_00285","285 Rue du Centre Arco 21160 Marsannay-la-Côte","21160",0.96,"Rue du Centre Arco",852015.6,6688045.58,21160,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MARSANNAY LA COTE","21","27",11649,26792.7,"Électricité","périmètre de l'usage inconnu",1927,2021,,,,,,,,,,,,
"2309T0626238C","2023-02-25","2023-02-25","2023-02-24","DPE 2006 tertiaire et ERP",,"2033-02-24",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,400,100,,"12 Boulevard Delcasse
Local rdc Lot 1","Pamiers","09225","12","09225_1190_00012","12 Boulevard Delcasse 09100 Pamiers","09100",0.57,"Boulevard Delcasse",587071.77,6224867.91,9100,0,,"DIA-TST01-2302-050",,"Etage : rdc","adresse non géocodée ban car aucune correspondance trouvée","PAMIERS","09","76",,,,,,,,,,,,,,,,,,
"2293T1584427S","2022-07-11","2022-07-11","2022-05-18","DPE 2006 tertiaire et ERP",,"2032-07-10",2.1,,"dpe tertiaire vierge",,,,,,,1975,,"1975-1977","autres tertiaires non ERP",500,,507.1,,"Ardoin","Saint-Ouen-sur-Seine","93070","50","93070_0074_00050","50 Rue Ardoin 93400 Saint-Ouen-sur-Seine","93400",0.88,"Rue Ardoin",650532.3,6868170.35,93400,0,"Bâtiment",,,,"adresse géocodée ban à l'adresse","SAINT-OUEN-SUR-SEINE","93","11",0,0,"Électricité","périmètre de l'usage inconnu",0,2022,,,,,,,,,,,,
"2254T2578911P","2022-11-02","2022-11-02","2022-10-26","DPE 2006 tertiaire et ERP",,"2032-11-01",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,534.8,100,,"47 RUE SAINT DIZIER","Nancy","54395","47","54395_4490_00047","47 Rue Saint-Dizier 54000 Nancy","54000",0.78,"Rue Saint-Dizier",934223.65,6848077.57,54000,0,,"54000/08115/22",,"LOCAL COMMERCIAL","adresse géocodée ban à l'adresse","NANCY","54","44",,,,,,,,,,,,,,,,,,
"2144T0362648H","2021-09-21","2021-09-21","2021-09-20","DPE 2006 tertiaire et ERP",,"2031-09-20",1,,"dpe tertiaire facture",,,"D","B",248.1,9.1,2006,,"2006-2012","autres tertiaires non ERP",500,4372.5,4372.5,,"du Danube","Thouaré-sur-Loire","44204",,"44204_0148","Rue du Danube 44470 Thouaré-sur-Loire","44470",0.87,,363348.73,6696080.64,44470,,"TNT FEDEX",,,,"adresse géocodée ban à l'adresse","THOUARÉ-SUR-LOIRE","44","52",498039,1145489.7,"Électricité","périmètre de l'usage inconnu",80314.1,2020,463274,1065530.2,"Électricité","périmètre de l'usage inconnu",74707.9,2021,453901,1043972.3,"Électricité","périmètre de l'usage inconnu",73196.4,2019
"2375T0985023B","2023-03-24","2023-03-24","2023-02-28","DPE 2006 tertiaire et ERP",,"2033-03-23",2.2,,"dpe tertiaire facture dans un bâtiment de logement",,,"B","B",75.5,13.6,,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,2464.9,100,,"39 Rue Jean-Jacques Rousseau","Paris","75101","39","75101_4901_00039","39 Rue Jean-Jacques Rousseau 75001 Paris","75001",0.63,"Rue Jean-Jacques Rousseau",651709.75,6862777.34,75001,0,,"85471",,,"adresse géocodée ban à l'adresse","PARIS","75","11",204666.7,204666.7,"Réseau de Chauffage urbain","périmètre de l'usage inconnu",22405,2022,,,,,,,,,,,,
"2149T0220484Q","2021-08-26","2021-08-26","2021-08-25","DPE 2006 tertiaire et ERP",,"2031-08-25",1,,,,,,,,,1945,"1ère Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",3,244.2,244.2,,"58 Saint Aubin","Angers","49007","58","49007_7050_00058","58 Rue Saint-Aubin 49100 Angers","49100",0.61,"Rue Saint-Aubin",432538.41,6713565.39,49000,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","ANGERS","49","52",,,,,,,,,,,,,,,,,,
"2344T0219666B","2023-01-24","2023-01-24","2023-01-24","DPE 2006 tertiaire et ERP",,"2033-01-23",2.2,,"dpe tertiaire vierge",,,,,,,2010,"5ème Catégorie","2006-2012","locaux d'entreprise (bureaux)",16,320,100,,"1 Boulevard du Petit Versailles
Pôle des Carriers","Nozay","44113","1","44113_1797_00001","1 Boulevard du Petit Versailles 44170 Nozay","44170",0.46,"Boulevard du Petit Versailles",352447.47,6729403.24,44170,0,,"2023.12105_MB",,,"adresse géocodée ban à l'adresse","NOZAY","44","52",,,,,,,,,,,,,,,,,,
"2376T1232071Y","2023-04-13","2023-04-13","2023-04-13","DPE 2006 tertiaire et ERP",,"2033-04-12",2.2,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1978-1982","M : Magasins de vente, centres commerciaux",0,67.2,100,,"13 Rue Pasteur,","Belbeuf","76069","13","76069_0280_00013","13 Rue Pasteur 76240 Belbeuf","76240",0.56,"Rue Pasteur",565140.49,6922481.65,76240,0,,"2023/2810/VIE",,,"adresse géocodée ban à l'adresse","BELBEUF","76","28",,,,,,,,,,,,,,,,,,
"2292T2413914A","2022-10-17","2022-10-17","2022-10-14","DPE 2006 tertiaire et ERP",,"2032-10-16",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,19.6,100,,"6 rue Aristide Briand","Levallois-Perret","92044","6","92044_0080_00006","6 Rue Aristide Briand 92300 Levallois-Perret","92300",0.75,"Rue Aristide Briand",647296.52,6865715.62,92300,0,,"7599-14.10.22",,"Bat. Rue; Etage RDC; Porte Droite","adresse géocodée ban à l'adresse","LEVALLOIS PERRET","92","11",,,,,,,,,,,,,,,,,,
"2211T0164344Z","2022-01-27","2022-01-27","2022-01-27","DPE 2006 tertiaire et ERP",,"2032-01-26",2.1,,"dpe tertiaire facture",,,"B","A",57.6,1.6,1948,"5ème Catégorie","1948-1974","U : Établissements de soins",0,50.1,100,,"25 RUE HOCHE","Coursan","11106","25","11106_0460_00025","25 Rue Hoche 11110 Coursan","11110",0.55,"Rue Hoche",704727.51,6237068.19,11110,0,,,,"RDC","adresse géocodée ban à l'adresse","COURSAN France","11","76",1380,3174,"Électricité","périmètre de l'usage inconnu",400,2022,,,,,,,,,,,,
"2185T0789178W","2021-11-28","2021-11-28","2021-11-19","DPE 2006 tertiaire et ERP",,"2031-11-27",1.1,,"dpe tertiaire facture",,,"B","A",68.3,1.9,1947,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,97.5,100,,"6 RUE DU GENERAL LECLERC","Challans","85047","6","85047_1490_00006","6 Rue du Général Leclerc 85300 Challans","85300",0.61,"Rue du Général Leclerc",328429.97,6649999.52,85300,0,,,,,"adresse géocodée ban à l'adresse","CHALLANS","85","52",3183,7320.9,"Électricité","périmètre de l'usage inconnu",407,,,,,,,,,,,,,
"2159T0334015P","2021-09-16","2021-09-16","2021-09-13","DPE 2006 tertiaire et ERP",,"2031-09-15",1,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,1948,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",,178,100,,"61 RUE PAUL VAILLANT COUTURIER 
COMMERCE","Aulnoye-Aymeries","59033",,"59033_0515","Rue Paul Vaillant Couturier 59620 Aulnoye-Aymeries","59620",0.57,,760257.91,7011449.78,59620,0,,,,,"adresse géocodée ban à l'adresse","AULNOYE AYMERIES","59","32",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,0,,,,,,,,,,,,
"2242T0502717N","2022-03-13","2022-03-13","2022-03-10","DPE 2006 tertiaire et ERP",,"2032-03-12",2.1,,"dpe tertiaire facture",,,"D","C",209.5,11.4,1930,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",10,144.7,100,,"Rue Lamartine et 17 Rue René Cassin
(Cave Jeanne d'Arc)","Feurs","42094","17","42094_0883_00017","17 Rue René Cassin 42110 Feurs","42110",0.59,"Rue René Cassin",796035.18,6516754.98,42110,0,,,,,"adresse géocodée ban à l'adresse","FEURS","42","84",12552,28869.6,"Électricité","périmètre de l'usage inconnu",2089,2021,4484,4484,"Gaz naturel","périmètre de l'usage inconnu",481.7,2021,,,,,,
"2278T2865592S","2022-11-29","2022-11-29","2022-11-29","DPE 2006 tertiaire et ERP",,"2032-11-28",2.2,,"dpe tertiaire facture",,,"C","A",193.4,5.4,,"5ème Catégorie","1948-1974","locaux d'entreprise (bureaux)",10,640,100,,"18 rue des Fontenelles","Ecquevilly","78206","18","78206_0085_00018","18 Rue des Fontenelles 78920 Ecquevilly","78920",0.56,"Rue des Fontenelles",621876.39,6872609,78920,0,,"2022-700",,,"adresse géocodée ban à l'adresse","ECQUEVILLY","78","11",59186,136127.8,"Électricité","périmètre de l'usage inconnu",10440,2022,,,,,,,,,,,,
"2207T0392508J","2022-02-27","2022-02-27","2022-02-16","DPE 2006 tertiaire et ERP",,"2032-02-26",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",3,93.2,100,,"16 Place Parmentier","Aubenas","07019","16","07019_0950_00016","16 Place Parmentier 07200 Aubenas","07200",0.54,"Place Parmentier",810342.98,6392278.44,7200,0,,,,"Ce bien ne fait pas partie d'une copropriété","adresse géocodée ban à l'adresse","AUBENAS","07","84",,,,,,,,,,,,,,,,,,
"2306T0018543C","2023-01-04","2023-01-03","2023-01-03","DPE 2006 tertiaire et ERP",,"2033-01-02",2.2,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","B",158,4,1990,,"1989-2000","U : Établissements de soins",1,52.9,58.2,,"Résidence Elizara. 41 avenue Reibaud","Antibes","06004","41","06004_2900_00041","41 Avenue Reibaud 06600 Antibes","06600",0.58,"Avenue Reibaud",1032306.28,6284805.24,6600,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","ANTIBES","06","93",3996,9191,"Électricité","Eau Chaude sanitaire",728,2023,3996,9191,"Électricité","Eau Chaude sanitaire",728,2022,3996,9191,"Électricité","Eau Chaude sanitaire",728,2021
"2244T0824770G","2022-04-20","2022-04-20","2022-04-19","DPE 2006 tertiaire et ERP",,"2032-04-19",2.1,,"dpe tertiaire facture",,,"E","B",311.4,8.7,1947,"5ème Catégorie","avant 1948","autres tertiaires non ERP",0,56,100,,"98 rue des hauts Pavés","Nantes","44109","98","44109_4080_00098","98 Rue des Hauts Pavés 44000 Nantes","44000",0.83,"Rue des Hauts Pavés",354381.09,6690830.63,44000,0,,,,"RDC","adresse géocodée ban à l'adresse","NANTES","44","52",8339,19179.7,"Électricité","périmètre de l'usage inconnu",2419,2022,,,,,,,,,,,,
"2255T1014402F","2022-05-11","2022-04-06","2022-03-17","DPE 2006 tertiaire et ERP",,"2032-04-05",2.1,,"dpe tertiaire facture",,,"D","D",231,39,1948,,"avant 1948","N : Restaurants et débits de boisson",2,519.6,519.6,,"7 Route Nationale","Marville","55324","7","55324_0114_00007","7 Route Nationale 55600 Marville","55600",0.94,"Route Nationale",877965.68,6931076.56,55600,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MARVILLE","55","44",26989,62075,"Électricité","Eau Chaude sanitaire",4371,2022,26989,62075,"Électricité","Eau Chaude sanitaire",4371,2021,26989,62075,"Électricité","Eau Chaude sanitaire",4371,2020
"2234T1853579L","2022-08-16","2022-08-16","2022-04-07","DPE 2006 tertiaire et ERP",,"2032-08-15",2.1,,"dpe tertiaire facture","AA9550138",,"C","B",271.4,15.1,2009,"5ème Catégorie","2006-2012","J : Structures d’accueil pour personnes âgées ou personnes handicapées",1,20.2,100,,"40 rue Oliviers, EHPAD Les Romarins chambre 52","Villeveyrac","34341","40","34341_0076_00040","40 Rue des Oliviers 34560 Villeveyrac","34560",0.5,"Rue des Oliviers",748196.43,6267206.61,34560,0,,"220409-Y-DELBOSC DELABRE",,"Etage : 1er","adresse géocodée ban à l'adresse","VILLEVEYRAC","34","76",2256,5188.8,"Électricité","périmètre de l'usage inconnu",349.2,2021,841.4,841.4,"Gaz naturel","périmètre de l'usage inconnu",53,2021,,,,,,
