"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2235T1580054H","2022-07-11","2022-07-11","2022-07-11","DPE 2006 tertiaire et ERP",,"2032-07-10",2.1,,"dpe tertiaire facture",,,"D","E",245.7,61.1,1948,,"1948-1974","autres tertiaires non ERP",500,,147,,"de Nazareth","La Chapelle-Janson","35062","1","35062_0019_00001","1 Rue de Nazareth 35133 La Chapelle-Janson","35133",0.95,"Rue de Nazareth",396247.18,6813205.35,35133,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","LA CHAPELLE-JANSON","35","53",26919,26919,"Fioul domestique","périmètre de l'usage inconnu",2460.9,2021,4000,9200,"Électricité","périmètre de l'usage inconnu",729,2021,,,,,,
"2239T0173356R","2022-01-28","2022-01-28","2022-01-24","DPE 2006 tertiaire et ERP",,"2032-01-27",2.1,,"dpe tertiaire facture",,,"D","E",232.2,52.7,1947,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,55,100,,"3 rue du Pré","Saint-Claude","39478","3","39478_0940_00003","3 Rue du Pré 39200 Saint-Claude","39200",0.62,"Rue du Pré",920054.47,6591561.72,39200,0,,,,"Etage : Rdc","adresse géocodée ban à l'adresse","ST CLAUDE","39","27",14046.8,14046.8,"Gaz naturel","périmètre de l'usage inconnu",1734,2022,,,,,,,,,,,,
"2195T0796415P","2021-11-29","2021-11-29","2021-11-29","DPE 2006 tertiaire et ERP",,"2031-11-28",1.1,,"dpe tertiaire facture",,,"E","B",317.7,8.8,1989,"5ème Catégorie","1989-2000","M : Magasins de vente, centres commerciaux",4,198.3,100,,"11 rue de la Maraiche","Menucourt","95388","11","95388_0103_00011","11 Rue de la Mareche 95180 Menucourt","95180",0.51,"Rue de la Mareche",625447.19,6881119.06,95180,0,,,,"RdC","adresse géocodée ban à l'adresse","MENUCOURT, France","95","11",30132,69303.6,"Électricité","périmètre de l'usage inconnu",8740,,,,,,,,,,,,,
"2375T1409377J","2023-04-27","2023-04-27","2023-04-27","DPE 2006 tertiaire et ERP",,"2033-04-26",2.2,,"dpe tertiaire facture",,,"B","B",93,14,2021,"1ère Catégorie","après 2021","autres tertiaires non ERP",1,473,473,"Gaz naturel","44/46 Duhesme","Paris","75118",,"75118_2974","Rue Duhesme 75018 Paris","75018",0.57,"Rue Duhesme",651756.41,6866087.74,75018,,,,,"1-Bâtiment n°1-1-LogZone","adresse non géocodée ban car aucune correspondance trouvée","PARIS","75","11",27165.7,57.4,"Gaz naturel","Chauffage",3158.5,2001,,,,,,,,,,,,
"2367T0235000S","2023-01-25","2023-01-25","2023-01-11","DPE 2006 tertiaire et ERP",,"2033-01-24",2.2,,"dpe tertiaire facture",,,"C","C",124.5,19.9,,"5ème Catégorie","1948-1974","W : Administrations, banques, bureaux",0,104,100,,"11 avenue Pasteur","Sélestat","67462","11","67462_1250_00011","11 Avenue Louis Pasteur 67600 Sélestat","67600",0.74,"Avenue Louis Pasteur",1029306.47,6805090.68,67600,0,,"2016IM180_SCI PASTEUR 11 - DPE",,"RdC","adresse non géocodée ban car aucune correspondance trouvée","SELESTAT","67","44",9456.2,9456.2,"Gaz naturel","périmètre de l'usage inconnu",1051.8,2022,2081.7,4787.8,"Électricité","périmètre de l'usage inconnu",604.3,2022,,,,,,
"2162T0529327S","2021-10-19","2021-10-19","2021-10-06","DPE 2006 tertiaire et ERP",,"2031-10-18",1,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,1947,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",10,95.3,100,,"MAGASIN  REZ DE CHAUSSEE 
7 RUE DU VERT GALANT","Arras","62041","7","62041_4160_00007","7 Rue du Vert Galant 62000 Arras","62000",0.56,"Rue du Vert Galant",684154.33,7021587.42,62000,0,,,,,"adresse géocodée ban à l'adresse","ARRAS","62","32",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,,,,,,,,,,,,,
"2173T0258597L","2021-09-03","2021-09-03","2021-07-28","DPE 2006 tertiaire et ERP",,"2031-09-02",1,,"dpe tertiaire facture",,,"E","E",773.5,147,1948,"3ème Catégorie","1948-1974","O : Hôtels et pensions de famille",3040,1585,100,,"Le Praz","Courchevel","73227",,"73227_2605","Route du Praz 73120 Courchevel","73120",0.37,,984016.61,6487955.92,73120,0,,,,"Hôtel les Peupliers","adresse géocodée ban à l'adresse","COURCHEVEL","73","84",593400,593400,"Propane","périmètre de l'usage inconnu",6008,0,220000,506000,"Électricité","périmètre de l'usage inconnu",35176,0,249250,249250,"Fioul domestique","périmètre de l'usage inconnu",22786,0
"2249T1806046V","2022-08-08","2022-08-08","2022-08-08","DPE 2006 tertiaire et ERP",,"2032-08-07",2.1,,"dpe tertiaire vierge",,,,,,,1987,"5ème Catégorie","1983-1988","autres tertiaires non ERP",0,49.2,100,,"ZI PAGANNES
SAINT PIERRE MONTLIMART","Montrevault-sur-Èvre","49218",,"49218_8mrn3x","ZI de la Paganne (st Pierre-Montlimart) 49110 Montrevault-sur-Èvre","49110",0.53,,395524.35,6694587.07,49110,0,,"22/IMO/0367",,,"adresse géocodée ban à l'adresse","MONTREVAULT SUR EVRE","49","52",,,,,,,,,,,,,,,,,,
"2331T1728679N","2023-05-25","2023-05-10","2023-05-10","DPE 2006 tertiaire et ERP",,"2033-05-09",2.3,,"dpe tertiaire facture dans un bâtiment de logement",,,"E","B",378.3,10.5,1949,,"1948-1974","autres tertiaires non ERP",500,,30.7,,"4 rue des Champs Elysées","Toulouse","31555","4","31555_1872_00004","4 Rue des Champs Elysées 31500 Toulouse","31500",0.89,"Rue des Champs Elysées",575424.93,6280438.4,31500,0,,,,"hall gauche","adresse géocodée ban à l'adresse","TOULOUSE","31","76",5056,11628.8,"Électricité","périmètre de l'usage inconnu",889.6,2022,,,,,,,,,,,,
"2131T0393325R","2021-09-27","2021-09-27","2021-09-23","DPE 2006 tertiaire et ERP",,"2031-09-26",1,,,,,"A","A",0.1,0.1,1983,"5ème Catégorie","1983-1988","GHW : Bureaux",,76.4,100,,"216 ROUTE DE SAINT SIMON
BATIMENT TERTIAL 4EME ETAGE - LOTS N° 251 - 253","Toulouse","31555","216","31555_7988_00216","216 Route de Saint Simon 31100 Toulouse","31100",0.88,"Route de Saint Simon",570231.63,6276935.63,31100,0,,,,,"adresse géocodée ban à l'adresse","TOULOUSE","31","76",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,2021,,,,,,,,,,,,
