Pays,population,IDH,PIB_par_habitant,import_kg_poulet_par_habitant,Politic_score,Access_Elec_Pct,LPI,consommation_kg_poulet_par_habitant,dist,Continent
Jamaïque,2839786.0,0.72,6839.725450438871,4.979759038181046,-0.595,97.7,2.5,52.926959989238625,7734.696,North America
Jordanie,11439213.0,0.754,4442.057539185606,4.814615306140379,-1.073,100.0,2.69,22.6095011955805,3371.398,Asia
Kazakhstan,20330104.0,0.837,13000.068139198893,7.379582022797326,-0.121,100.0,2.7,22.495598153359175,5561.785,Asia
Kenya,55339002.0,0.628,1952.3046020417933,0.01980809122650965,-0.629,76.2,2.81,1.7078343769191935,6491.402,Africa
Kirghizistan,7073516.0,0.72,1977.4646689142994,6.723902229103603,-0.388,100.0,2.3,7.851412225546673,5424.702,Asia
Koweït,4838782.0,0.852,33831.79727584338,20.833341944315737,-1.181,100.0,3.2,33.33210092953144,4415.222,Asia
Lesotho,2311472.0,0.55,916.2829698997003,7.2591880844760395,-0.518,57.3,2.28,7.473285421584168,9054.14,Africa
Lettonie,1882396.0,0.889,22443.656948378557,18.42100705696357,-1.21,100.0,3.5,29.78586864825467,1704.598,Europe
Liban,5773493.0,0.752,4756.825947307808,1.0744881824573096,1.2,100.0,2.72,21.974620909733503,3197.032,Asia
Libye,7305659.0,0.721,6026.824080894003,13.211509050723556,2.476,73.2,1.9,31.153378497408653,2007.716,Africa
Libéria,5493031.0,0.51,917.3873229552136,0.3164500619057129,1.681,32.5,2.4,3.0027101612934644,4892.298,Africa
Lituanie,2854099.0,0.895,27956.240276178225,14.924436748690217,-0.931,100.0,3.4,23.391700848498946,1700.296,Europe
Luxembourg,665098.0,0.922,128935.89534775326,13.616279104733438,-1.887,100.0,3.6,12.815555000917158,289.1023,Europe
Macédoine du Nord,1831802.0,0.815,8605.527202175781,19.736472610030997,0.993,100.0,3.1,20.434883246115028,1672.04,Europe
Madagascar,31195932.0,0.487,508.7184276783268,7.372756165771871e-06,2.376,39.4,2.3,1.7619531290169501,8763.332,Africa
Malaisie,35126298.0,0.819,11377.477081587134,6.766196654142147,2.454,100.0,3.6,49.806917597749695,10436.4,Asia
