Domaine,Zone,Élément,Produit,Année,Édition,Unité,Valeur
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.23"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","4.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","4.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","4.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","4.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","4.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","4.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Congo","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","346.96"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.95"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","1.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Costa Rica","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","326.09"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.37"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","15"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","14.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","13.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","14.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","14.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","15.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","15.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Côte d'Ivoire","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","15.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.51"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.05"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","1.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Croatie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","1.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.78"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Curaçao","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","4.56"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.63"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","<0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Danemark","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","<0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","133.83"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.38"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Djibouti","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","1.64"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.01"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Dominique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","6.78"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.65"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","54.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","56.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","52.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","48.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","46.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","49.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","63.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Égypte","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","66.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","2.52"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.92"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Émirats arabes unis","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.43"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.89"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","3.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","4.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","4.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","5.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","4.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","4.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","4.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Équateur","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","4.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.45"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.68"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","5.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","5.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","4.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","5.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","4.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","4.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","4.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Espagne","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.47"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.74"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Estonie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.1"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","8.15"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","1.32"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Eswatini","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.56"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.56"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","16.6"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","15.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","14.4"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","11"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","8.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","16.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","États-Unis d'Amérique","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","16.3"
